Gene,C,Z,Pval,FDR
Ms4a6d,0.29836494323153756,30.350365,1.2423947721747835e-202,3.434334120226009e-201
Dok2,0.12270360031134295,30.170048,2.927778337098823e-200,7.951229589173645e-199
Cd27,0.12334297843831343,30.123842,1.1807424167815747e-199,3.1513607951342715e-198
Irf9,0.11375839467176298,29.860283,3.2279415681939593e-196,8.469243300956354e-195
Ccl9,0.20853364985094813,29.63382,2.740940701473235e-193,7.071627009800947e-192
Trim30a,0.13708466273878134,29.572674,1.6784833125499168e-192,4.2594953570938874e-191
Rtp4,0.10868000610614557,29.16859,2.4275251005871147e-187,6.0609820253368606e-186
Spp1,0.19184041793011686,28.836384,3.7538451004952514e-183,9.223733675502616e-182
Mmp8,0.5779570069640473,28.727213,8.724322044704916e-182,2.1101953945630017e-180
Lyz2,0.5333739730873185,28.482399,9.676999451487273e-179,2.3046146386003537e-177
Cybb,0.4316731212568307,28.103498,4.438864566307024e-174,1.0411155073701929e-172
Myc,0.17800935465287177,27.724697,1.7592838213740828e-169,4.0647333663986275e-168
Mrc1,0.12975296798232042,26.942259,3.5146918503954803e-160,8.001092624135594e-159
Csf2rb2,0.15178637163687952,26.555885,1.0980809258594327e-155,2.4635206858411618e-154
Rasgef1b,0.08746603425773082,26.52237,2.6759565607085094e-155,5.917686794252532e-154
Ccr1,0.35676371294433284,26.450514,1.7997085848499024e-154,3.9238716751375337e-153
Alox5,0.16303590644386473,26.33725,3.5923176441618854e-153,7.723482934948054e-152
Ccr2,0.32496516440670054,26.124853,9.517078522524748e-151,2.0181421305299058e-149
Emp1,0.09731874267346771,25.893032,3.989397915158962e-148,8.34538915225145e-147
Klhl6,0.0999290397398024,25.72007,3.485843253030761e-146,7.19478047425549e-145
Vim,0.20801932373002732,25.522259,5.581114480114771e-144,1.1367848967391666e-142
Aldoc,0.11757012025069732,25.2902,2.047245858361333e-141,4.1157618035627837e-140
Gfi1,0.27920788882101377,25.287807,2.175103640484185e-141,4.316744148037845e-140
Basp1,0.12024082136237041,25.228958,9.63919871944672e-141,1.8887948883169016e-139
Ccnd1,0.12215722001473243,25.09901,2.5492943513516334e-139,4.932884569865411e-138
Lgals3,0.39610872534253155,25.032799,1.343826087344563e-138,2.5682009669251645e-137
Il12a,0.10227550647906548,24.915056,2.555196142022246e-137,4.823711741281021e-136
Spns2,0.11094231425457307,24.891428,4.60662004105194e-137,8.591623883793257e-136
Sirpa,0.15062393439030586,24.779676,7.424654295427619e-136,1.3682577201573756e-134
Sgms2,0.3310319617017733,24.35442,2.6024068913929974e-131,4.7394421975016e-130
Mx1,0.09002091726412777,24.261246,2.5156454516432563e-130,4.528161812957862e-129
Bex6,0.11373293463120111,23.97857,2.3269162396450284e-127,4.140306136747705e-126
Ms4a6c,0.27236648403136643,23.86094,3.8982996217982826e-126,6.857463425617888e-125
Spint2,0.11573776868674032,23.811104,1.281405386788775e-125,2.228781504212386e-124
Cd52,0.2948710633800146,23.587053,2.6169220638670087e-123,4.501105949851255e-122
Naaa,0.2544491388184436,23.568901,4.01789850737064e-123,6.83484273561511e-122
Scin,0.12394838256001615,23.545328,7.008096493144146e-123,1.1791884099333846e-121
F630028O10Rik,0.20443802865413457,23.529707,1.0129088591192648e-122,1.6860031332436794e-121
1100001G20Rik,0.42632595450699734,23.39506,2.3991333246287293e-121,3.9509131771545456e-120
Car2,0.09541955062445973,23.036673,1.0004124163220956e-117,1.63014570575432e-116
Mef2c,0.11528396029168761,22.925972,1.2797599125103926e-116,2.0636128589230082e-115
Rhoj,0.18385844101049723,22.868824,4.747883440179436e-116,7.577034603502851e-115
Cfp,0.2267424280855496,22.733538,1.0440710634871525e-114,1.6492061288552165e-113
Bnip3,0.12405334981159731,22.49641,2.250224722367575e-112,3.51853320224748e-111
Gpr56,0.11415187036091637,22.480145,3.2463845715084987e-112,5.025403316695156e-111
Sipa1l1,0.09706319858757155,22.279491,2.920869902133175e-110,4.476739216338767e-109
Klhl30,0.02014851755351559,22.12345,9.399539337652767e-109,1.4265183230084786e-107
Ifi30,0.22436568669649262,21.832363,5.717667498806112e-106,8.593154648691128e-105
Spint1,0.18641888810838814,21.80392,1.064850044506655e-105,1.5849883354772134e-104
Mgst1,0.19695306917415162,21.750124,3.4446677182851434e-105,5.0784244075289546e-104
Lilrb4,0.1871125226674579,21.708628,8.502985385890878e-105,1.2417567337131206e-103
